District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Snelling-Merced Falls Union Elementary (Merced),Merced,Elementary School District,No,K-08,95369,"""Snelling                      """,55,29.1,0,0,0,0,52.7,0,1.8,3.6,41.8,85.5,10.91,36,N/A,N/A,11,1,3,183,180,2,13,1.4,20,30.77,48.72,22781,0,0,63,12,8,9,8
Snowline Joint Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92329,"""Phelan                        """,8085,12.6,0.4,1,5.4,0.4,62.3,0.3,2.6,4,23.5,71.4,13.73,36,88.9,88.8,21.1,19,338,184,180,49,13,7,29.8,20.31,32.74,18878,0,0,55,11,6,9,12
Solana Beach Elementary (San Diego),San Diego,Elementary School District,No,K-06,92075,"""Solana Beach                  """,2620,11.4,0.1,27.6,0.5,0.6,13.7,0.2,10.4,2.6,44.5,13.8,19.47,53,N/A,N/A,20.2,2,146,185,180,3,17,0.3,3.6,82.25,83.66,25543,0,3,59,9,10,10,9
Solano County Office of Education (Solano),Solano,County Office of Education (COE),No,K-12,94534,"""Fairfield                     """,1075,15.7,0.4,2.2,38.7,4,37.1,1.1,4.4,0.7,11.3,52.8,9.3,54,62,54.9,13.1,2,79,184,181,4,10,3.5,36.3,2.38,4.88,N/A,0,5,39,19,15,18,4
Soledad Unified (Monterey),Monterey,Unified School District,No,K-12,93960,"""Soledad                       """,4744,33.5,0,0.8,0.4,0.6,95.9,0.1,0.3,0.2,1.7,87.3,31.89,4,95,95.1,22.1,17,179,186,180,36,12,3.4,22.2,20.62,33.43,20412,0,1,52,12,8,14,11
Solvang Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-08,93463,"""Solvang                       """,602,18.8,0.7,0.3,0.5,0.5,57.8,0,4,3.3,32.9,38.2,13.95,37,N/A,N/A,19.4,2,25,185,180,6,12,5.1,13,42.67,56.87,13070,0,2,54,6,10,5,8
Somis Union (Ventura),Ventura,Elementary School District,No,K-08,93066,"""Somis                         """,270,30,0,0,0,0.4,79.6,0,1.5,0,18.5,81.1,21.11,21,N/A,N/A,22.3,0,13,182,180,0,19,1.1,6.1,43.82,51.98,19792,0,3,43,18,11,6,10
Sonoma County Office of Education (Sonoma),Sonoma,County Office of Education (COE),No,K-12,95403,"""Santa Rosa                    """,278,16.9,2.5,1.1,3.2,0.4,58.3,0.4,2.9,0.4,30.9,61.5,28.06,40,36.4,37.5,9.4,2,27,183,181,2,19,14.9,50.7,0,0,N/A,0,0,21,14,22,26,3
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,No,K-12,95476,"""Sonoma                        """,3519,23.4,0.4,1.3,0.5,0.4,64.3,0.3,1.6,0.5,30.8,37,26.17,33,90,88.5,19.1,9,164,186,180,21,13,2.5,18.2,20.03,37.05,26001,0,1,57,13,8,11,10
Sonora Elementary (Tuolumne),Tuolumne,Elementary School District,No,K-08,95370,"""Sonora                        """,643,1.9,2.8,1.7,0.8,0.6,17.6,0.2,4.4,0.2,71.9,48.2,4.2,30,N/A,N/A,18.3,1,35,184,180,3,14,4.3,17.3,31.63,46.84,16883,0,0,60,10,11,9,8
Sonora Union High (Tuolumne),Tuolumne,High School District,No,09-12,95370,"""Sonora                        """,1000,2.1,1.6,1,0.9,0.8,22.5,0.2,6.4,3.3,63.3,41,5.3,36,92.6,92,22.6,4,42,N/A,N/A,5,15,9.3,31.3,22.22,54.13,22729,0,2,44,18,10,10,14
Soquel Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,No,K-08,95010,"""Capitola                      """,1520,10.9,0.3,1.6,0.9,0.7,35.9,0.4,6.6,0.1,53.5,31.1,7.96,42,N/A,N/A,21.1,3,72,185,180,4,15,0.8,11.8,42.05,54.14,16790,0,0,60,8,9,13,10
Soulsbyville Elementary (Tuolumne),Tuolumne,Elementary School District,No,K-08,95372,"""Soulsbyville                  """,499,0.4,0.6,0.6,0,0.2,15.4,0.2,5.8,0.4,76.8,39.3,0.6,25,N/A,N/A,17.3,0,27,184,180,4,13,1.3,17.6,45.74,48.73,14331,0,0,68,4,10,6,9
South Bay Union (San Diego),San Diego,Elementary School District,No,K-08,91932,"""Imperial Beach                """,5450,44.1,0,0.4,1.8,2.4,86.6,0.1,2.6,0.8,5.3,68.6,8.26,14,N/A,N/A,20.1,19,247,185,180,25,21,2.2,24.1,24.6,35.35,27937,0,7,54,10,7,12,9
South Bay Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-12,95503,"""Eureka                        """,855,5,3.9,0.8,0.7,0.1,24,0.1,13.3,0.5,56.6,72.3,2.57,44,89.2,86.7,17.7,4,50,187,180,4,14,0.9,8.2,28.44,37.44,23140,0,0,54,9,10,10,7
