District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,No,K-12,93622,"""Firebaugh                     """,2232,29.6,0,0.2,0.4,0,96.7,0.1,0,0,2.6,86,35.62,4,95.8,95.5,20,8,97,184,180,16,12,2.1,12.3,19.01,32.78,22442,0,1,53,11,7,11,14
Flournoy Union Elementary (Tehama),Tehama,Elementary School District,No,K-08,96029,"""Flournoy                      """,32,N/A,0,0,0,0,31.3,0,3.1,0,65.6,62.5,6.25,32,N/A,N/A,17.8,0,2,185,180,0,21,5.4,25.7,42.11,68.42,26581,0,0,45,10,14,10,19
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,No,K-12,95742,"""Rancho Cordova                """,21944,14.7,0.3,22.2,4.2,2.6,23.5,0.7,11.6,0,35,36.1,16.72,63,92.5,86.2,20.3,10,1006,185,180,97,14,3,12.1,49.01,60.03,16736,0,3,58,11,5,12,10
Fontana Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92335,"""Fontana                       """,33039,23.8,0.1,2.2,5.2,1.2,85.8,0.2,1.2,0,4,82.5,20.56,16,94.6,94.9,19.9,42,1575,186,180,87,16,2.3,24.1,25.89,39.94,22037,0,0,63,8,5,11,13
Foresthill Union Elementary (Placer),Placer,Elementary School District,No,K-08,95631,"""Foresthill                    """,470,0.6,0.6,0,0.6,0.4,14.3,0.4,5.7,0,77.9,40.9,0.85,24,N/A,N/A,18.8,0,23,186,180,2,11,4.8,19.5,30.2,45.85,17676,0,0,54,12,12,6,11
Forestville Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95436,"""Forestville                   """,224,14.3,0,0.4,1.3,0,29,0,4.5,6.7,58,39.7,6.7,36,N/A,N/A,14,5,10,183,180,6,10,7.3,29.1,24.81,42.97,32328,0,0,61,7,12,7,9
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,No,K-12,95437,"""Fort Bragg                    """,1750,18.7,0.9,0.6,0.4,0.1,45.4,0.2,5.7,6.2,40.6,77.9,17.2,41,87.1,85.3,16.9,14,82,185,180,29,8,5.9,27.9,16.44,29.94,23503,0,7,49,10,6,15,13
Fort Ross Elementary (Sonoma),Sonoma,Elementary School District,No,01-08,95421,"""Cazadero                      """,20,15,0,0,5,0,20,0,25,0,50,60,5,49,N/A,N/A,7.1,1,2,185,180,1,11,4.8,65,15.38,38.46,72876,0,0,53,5,15,21,6
Fort Sage Unified (Lassen),Lassen,Unified School District,No,K-12,96113,"""Herlong                       """,519,1.5,1.7,0,2.3,0,19.1,0.2,8.3,0.4,68,64.4,0.77,34,90.9,88.9,18.2,3,27,183,180,6,11,4,15.8,4.63,12.73,35207,0,4,47,12,12,11,14
Fortuna Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95540,"""Fortuna                       """,1238,12,3.5,1.2,0.5,0.2,37.4,0,8.4,0.2,48.7,73.7,8.32,45,N/A,N/A,15.7,3,76,184,180,4,14,6.9,13.1,22.27,31.86,20213,0,0,54,10,7,9,13
Fortuna Union High (Humboldt),Humboldt,High School District,No,09-12,95540,"""Fortuna                       """,1046,6.3,3.7,0.7,0.1,0.3,32.2,0.1,6.4,0.2,56.3,63.1,15.3,41,92.5,91.8,20.6,3,48,182,180,8,14,7.8,28.3,19.33,46.69,17120,0,4,44,14,10,10,9
Fountain Valley Elementary (Orange),Orange,Elementary School District,No,K-08,92708,"""Fountain Valley               """,6022,9.6,0.1,36.1,0.4,1.4,19.1,0.5,8.4,2.9,31.1,27.1,14.78,57,N/A,N/A,21.3,6,282,185,180,14,15,1.4,7.5,74.04,78.71,15901,0,0,65,6,5,11,11
Fowler Unified (Fresno),Fresno,Unified School District,No,K-12,93625,"""Fowler                        """,2563,14.4,0.4,8,0.6,0,83.2,0,0.9,0,6.8,79.5,20.83,19,97.1,96.9,21.2,10,105,185,180,18,12,1.9,16.5,30.92,44.74,21260,0,2,58,12,7,7,13
Franklin Elementary (Sutter),Sutter,Elementary School District,No,K-08,95993,"""Yuba City                     """,505,7.7,0.4,11.7,0.4,0,23.8,0.2,8.1,0,55.4,25.7,6.53,46,N/A,N/A,25.3,1,18,184,180,2,18,0.8,5.9,57.23,58.26,12525,0,0,52,11,6,10,11
Franklin-McKinley Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95112,"""San Jose                      """,7724,43.9,0.1,30.7,1.3,3,61.6,0.2,1.4,0,1.5,77.1,23.5,37,N/A,N/A,21.7,16,327,184,180,38,14,1.3,18.6,28.49,35.88,23871,0,0,65,7,7,11,9
Fremont Unified (Alameda),Alameda,Unified School District,No,K-12,94538,"""Fremont                       """,33134,16.4,0.4,64.7,1.8,4,16.2,0.5,3.9,1.3,7.2,30.1,32.43,38,93.1,88.8,22.9,112,1378,187,180,177,12,2.5,10.6,68.59,73.49,16597,0,2,63,9,5,11,9
Fremont Union High (Santa Clara),Santa Clara,High School District,No,09-12,94087,"""Sunnyvale                     """,9457,9.8,0.5,56.5,0.6,2.6,18,0.3,6.2,2.1,13.1,13.1,49.93,45,95.7,89.5,22.4,7,433,185,180,13,17,1.3,11.1,73.52,79.38,26602,0,0,59,11,5,15,9
French Gulch-Whiskeytown Elementary (Shasta),Shasta,Elementary School District,No,01-07,96033,"""French Gulch                  """,18,N/A,0,0,0,0,11.1,0,0,5.6,83.3,66.7,N/A,13,N/A,N/A,11.1,0,3,183,180,0,16,0,35,23.08,15.38,36576,0,0,39,20,13,13,15
Freshwater Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95503,"""Eureka                        """,334,0.9,2.7,0.3,0,0,13.8,0.6,11.4,0,71.3,48.5,1.8,31,N/A,N/A,17.5,3,16,183,180,4,14,0.3,11.3,46.63,63.21,16023,0,0,62,7,10,5,7
Fresno County Office of Education (Fresno),Fresno,County Office of Education (COE),No,K-12,93721,"""Fresno                        """,4278,13.3,0.9,5.3,8.8,0.2,55.4,0.2,4.8,0.6,23.9,81.8,13.72,46,23.9,22.2,15.3,13,265,N/A,N/A,29,12,2.7,48.2,0.88,10.53,N/A,2,0,34,20,11,22,9
Fresno Unified (Fresno),Fresno,Unified School District,No,K-12,93721,"""Fresno                        """,71151,18.8,0.7,10.6,7.5,0.3,69.6,0.4,3.2,0,7.7,85.8,16.62,34,90,89.7,18.2,223,3559,185,180,425,14,5.9,30.9,27.15,37.11,24938,0,7,52,10,5,12,14
Fruitvale Elementary (Kern),Kern,Elementary School District,No,K-08,93308,"""Bakersfield                   """,3069,6.9,0.6,3.1,4.3,2.1,51.3,0.5,2.8,0.7,34.7,71,5.87,45,N/A,N/A,18.9,11,143,183,180,23,12,0.2,8.3,40.39,54.13,16304,0,0,57,9,6,8,18
Fullerton Elementary (Orange),Orange,Elementary School District,No,K-08,92833,"""Fullerton                     """,11262,17.5,0.3,24,1.3,2.5,51.3,0.2,5.3,0,15.1,53.2,15.64,50,N/A,N/A,22.7,1,493,185,180,24,17,1.3,9.1,51.76,60.23,17654,0,0,61,7,5,15,11
Fullerton Joint Union High (Orange),Orange,High School District,No,09-12,92833,"""Fullerton                     """,12631,8.9,0.1,20.3,1.4,2.9,59.7,0.3,3.4,0.8,11,60.8,37.54,42,95,94.3,23.2,15,511,186,180,55,16,3,15.7,43.8,64.3,18258,0,2,54,11,7,11,13
Galt Joint Union Elementary (Sacramento),Sacramento,Elementary School District,No,K-08,95632,"""Galt                          """,3452,15.8,0.3,3.5,1,1.4,61.6,0.5,3.5,0.1,27.9,55.9,15.06,38,N/A,N/A,20,9,162,186,180,16,16,2.9,15.1,39.68,52.6,17817,0,0,66,7,7,9,11
Galt Joint Union High (Sacramento),Sacramento,High School District,No,09-12,95632,"""Galt                          """,1943,7.1,0,2.1,1,0.7,61,0.4,4.4,0.8,29.6,50.5,33.09,37,92.9,92,22.4,3,91,183,180,7,17,2.9,18.8,29.28,64.29,18038,0,4,50,11,8,10,12
Garden Grove Unified (Orange),Orange,Unified School District,No,K-12,92840,"""Garden Grove                  """,37009,28.2,0.1,35.5,0.5,1.3,53.2,0.4,2.3,0.7,6,78.5,32.1,42,92.3,92.3,21.8,58,1662,185,180,108,18,2.7,13.5,50.7,60.21,22744,0,3,59,11,4,10,10
Garfield Elementary (Humboldt),Humboldt,Elementary School District,No,K-06,95503,"""Eureka                        """,73,N/A,1.4,1.4,0,0,9.6,0,5.5,0,82.2,27.4,N/A,20,N/A,N/A,15.2,1,4,N/A,N/A,2,7,0,13.6,78.72,78.72,18142,0,0,60,1,8,18,6
Garvey Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,91770,"""Rosemead                      """,4240,38.7,0,58.5,0.4,1.3,36.1,0.1,1.6,1.3,0.7,76.6,28.42,36,N/A,N/A,21,9,189,186,180,14,17,1.5,11.2,51.85,55.86,21566,0,0,58,11,8,12,10
Gateway Unified (Shasta),Shasta,Unified School District,No,K-12,96003,"""Redding                       """,2322,2.1,5.2,3.3,1.2,0.3,17,0.3,8,0.9,63.8,79.9,3.14,39,87.5,86.6,18.1,20,109,184,180,21,13,8.4,26.5,27.14,38.88,22062,0,1,61,11,6,9,11
Gazelle Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96034,"""Gazelle                       """,34,N/A,0,5.9,2.9,0,11.8,0,14.7,0,64.7,70.6,N/A,38,N/A,N/A,20,1,1,N/A,N/A,1,12,14.3,28.6,17.39,13.04,23816,0,2,48,13,14,10,9
General Shafter Elementary (Kern),Kern,Elementary School District,No,K-08,93313,"""Bakersfield                   """,169,26,0,0,0.6,0,72.2,0,0.6,0,26.6,88.8,18.34,27,N/A,N/A,16.9,2,7,N/A,N/A,3,9,3.3,10.7,45.97,43.9,24780,0,0,58,4,4,11,16
Gerber Union Elementary (Tehama),Tehama,Elementary School District,No,K-08,96035,"""Gerber                        """,400,34.8,1,0.3,1.5,0,78.5,0,0.5,0.5,17.8,81.5,20.75,22,N/A,N/A,21.1,1,17,184,180,2,13,1.6,18.9,5.71,13.52,21380,0,0,64,9,5,4,14
Geyserville Unified (Sonoma),Sonoma,Unified School District,No,K-12,95441,"""Geyserville                   """,194,25.8,0.5,1,0,0,67,0,4.6,0,26.8,56.7,22.16,33,88.9,85.7,12.3,2,15,185,180,3,13,9.9,23.6,21.3,40.74,27466,0,1,61,8,8,11,12
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,No,K-12,95020,"""Gilroy                        """,10768,26.5,0.4,4.9,1.2,3,70.8,0.1,3.5,4.5,11.5,50.8,17.8,29,91.4,89.7,23.2,34,405,186,180,58,14,4.3,21,32.42,40.23,18856,0,0,57,10,5,12,12
Glendale Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91206,"""Glendale                      """,25329,22.3,0.1,9.9,0.9,3.8,18.5,0.1,3.8,0,62.9,49.7,27.59,40,95,94.3,22.7,33,1024,186,180,95,17,3,12.8,52.27,60.12,17464,0,1,65,7,4,13,9
Glendora Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91741,"""Glendora                      """,6376,6,0.2,12.9,1.4,2.2,50,0.1,5.9,0.1,27.1,23.1,12.08,50,97.5,97.2,21.9,7,278,184,180,21,18,2,9.7,54.37,61.93,16797,1,0,67,6,6,9,10
Glenn County Office of Education (Glenn),Glenn,County Office of Education (COE),No,K-12,95988,"""Willows                       """,519,14.3,1.9,1.2,0.2,0,53.4,0,4.2,3.9,35.3,56.3,10.98,39,31.8,31.6,16.1,2,26,182,180,7,10,4.2,44,8.7,27.94,N/A,0,0,40,18,17,19,0
Gold Oak Union Elementary (El Dorado),El Dorado,Elementary School District,No,K-08,95667,"""Placerville                   """,388,2.1,0.5,0.3,0.3,0,22.7,0,3.9,1,71.4,38.7,2.06,28,N/A,N/A,16.4,7,11,184,180,14,4,8.4,24.5,20.08,30.86,18991,0,0,56,15,8,8,9
Gold Trail Union Elementary (El Dorado),El Dorado,Elementary School District,No,K-08,95667,"""Placerville                   """,476,4.2,0.6,0.6,0,0,18.9,0,4,0,75.8,37,0.63,25,N/A,N/A,19.9,1,23,N/A,N/A,2,13,6.5,13.4,38.68,50,16881,0,1,62,8,8,10,11
Golden Feather Union Elementary (Butte),Butte,Elementary School District,No,K-08,95965,"""Oroville                      """,67,6,0,0,1.5,0,17.9,0,10.4,0,70.1,82.1,0,32,N/A,N/A,11.6,1,3,N/A,N/A,3,3,9.5,33.3,34.15,36.59,34799,0,0,38,7,13,17,10
Golden Plains Unified (Fresno),Fresno,Unified School District,No,K-12,93660,"""San Joaquin                   """,1352,48.5,0.3,0.4,1.3,0,97.2,0,0.1,0,0.7,95.7,23,3,96,96,17,18,53,N/A,N/A,29,9,3.7,27.1,16.29,26.39,28416,0,1,46,13,10,11,17
Golden Valley Unified (Madera),Madera,Unified School District,No,K-12,93636,"""Madera                        """,2997,6.8,0.9,6.3,2.3,0.7,49.8,0,1.8,0.6,37.5,37.3,9.08,44,92.9,91.5,21,15,112,183,180,35,9,3.7,10.7,41.11,57.98,14436,0,1,54,11,8,11,13
Goleta Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-06,93117,"""Goleta                        """,3395,14.7,0.2,5.7,0.6,0.8,45.5,0,7.9,2.1,37.1,36.5,12.02,47,N/A,N/A,19.9,15,158,185,180,17,16,0.2,10.2,54.07,62.73,23287,0,0,67,8,7,10,8
Gonzales Unified (Monterey),Monterey,Unified School District,No,K-12,93926,"""Gonzales                      """,1962,42.4,0.6,0.2,0,0.4,97.7,0,0.3,0.1,0.9,81.5,27.88,3,94.3,94.2,19.7,7,89,N/A,N/A,13,12,4.8,26.1,19.74,32.72,24783,0,0,55,11,11,10,8
Gorman Joint (Los Angeles),Los Angeles,Elementary School District,No,K-12,93243,"""Gorman                        """,1303,3.2,0.4,1.9,9,0.5,41.8,0.3,6.6,1,38.5,43.4,4.6,50,80,77.8,16.6,20,69,N/A,N/A,27,9,0.2,7,41.33,54.67,17180,0,0,47,23,8,13,9
Grant Elementary (Shasta),Shasta,Elementary School District,No,K-08,96001,"""Redding                       """,600,0.3,2.3,3.3,0.5,0.2,7,0,7.8,0,78.8,37.8,2.5,24,N/A,N/A,19.4,1,29,185,180,2,14,1,9.1,59.23,67.22,15584,0,1,67,4,8,7,13
Grass Valley Elementary (Nevada),Nevada,Elementary School District,No,K-08,95945,"""Grass Valley                  """,1613,4,1.5,1.5,1,0.4,21,0.3,4.2,0.1,70.1,57.9,4.9,31,N/A,N/A,19.7,8,76,186,180,9,14,4.3,22.6,35.08,42.73,19784,0,0,49,11,7,11,10
Gratton Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-08,95316,"""Denair                        """,135,4.4,0,2.2,0,1.5,17.8,0,0,0,78.5,15.6,1.48,23,N/A,N/A,12.4,1,11,185,180,1,12,0,0,59.77,59.77,17025,0,0,61,6,8,17,8
Gravenstein Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95472,"""Sebastopol                    """,800,5.6,0,4,0.3,0,25.1,0.4,9.3,2.3,58.8,26.5,8.5,40,N/A,N/A,17.8,7,38,183,180,8,14,4.4,15.2,63.47,69.92,19361,0,0,71,7,8,7,7
Graves Elementary (Monterey),Monterey,Elementary School District,No,K-08,93908,"""Salinas                       """,32,21.9,3.1,0,0,0,87.5,0,3.1,0,6.3,59.4,9.38,14,N/A,N/A,16,0,2,183,180,0,20,0,9.1,25,45.83,20226,0,0,69,0,6,20,5
Green Point Elementary (Humboldt),Humboldt,Elementary School District,No,06-07,95525,"""Blue Lake                     """,3,N/A,0,0,0,0,0,0,0,0,100,33.3,N/A,0,N/A,N/A,2.7,0,1,N/A,N/A,1,5,0,0,redacted,redacted,142669,0,0,32,4,42,6,4
Greenfield Union (Kern),Kern,Elementary School District,No,K-08,93307,"""Bakersfield                   """,8860,22.6,0.1,1.8,5.5,0.3,86.5,0.1,1.1,0,4.6,94.2,18.09,15,N/A,N/A,20.4,22,390,184,180,48,14,1.5,19.1,28.21,42.8,19744,0,0,52,12,5,8,19
Greenfield Union Elementary (Monterey),Monterey,Elementary School District,No,K-08,93927,"""Greenfield                    """,3322,57,0.3,0.1,0.1,0.2,98.4,0.1,0.1,0,0.9,82.3,17.61,2,N/A,N/A,20.6,24,124,186,180,41,9,2.4,10.6,18.58,24.81,20855,0,0,52,11,6,8,14
Grenada Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96038,"""Grenada                       """,210,N/A,4.3,1,0,0,17.1,0,9.5,0,68.1,48.1,1.43,34,N/A,N/A,19.1,0,11,183,180,0,12,5.5,12,22.56,41.35,16451,0,1,57,8,7,14,10
Gridley Unified (Butte),Butte,Unified School District,No,K-12,95948,"""Gridley                       """,2002,13.9,0.4,3.4,0.7,0,58.9,0.1,2.5,0,33.8,75.4,19.33,38,94.3,93.8,20.7,11,84,183,180,16,13,4.2,20.8,33.23,50.1,17685,0,1,57,10,6,9,12
Grossmont Union High (San Diego),San Diego,High School District,No,K-12,92020,"""El Cajon                      """,21694,12.7,0.5,3.5,5.8,1.5,44.4,0.4,6.5,0.5,37,62.2,28.01,50,86.7,84.7,22.2,39,920,185,180,107,15,3.3,21.4,26.95,51.03,21618,0,1,58,10,7,11,11
Guadalupe Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-08,93434,"""Guadalupe                     """,1323,50,0.3,0,0.2,0.5,96.2,0.1,0.5,0,2.3,89.1,15.27,4,N/A,N/A,18.6,11,55,N/A,N/A,16,11,1.6,15.2,13.04,24.76,22535,0,5,51,11,5,11,16
Guerneville Elementary (Sonoma),Sonoma,Elementary School District,No,K-12,95446,"""Guerneville                   """,398,6.3,2.5,1.3,5,2.5,32.2,0,11.8,0.5,44.2,67.6,8.29,53,85,78.6,7.8,0,52,185,180,2,13,2,26.2,18.92,36.04,38410,0,1,61,10,11,6,7
Gustine Unified (Merced),Merced,Unified School District,No,K-12,95322,"""Gustine                       """,1627,34.4,0.2,0.6,0.2,0.6,87.6,0.1,1.1,1.5,8.1,80.8,25.2,12,94.5,94.3,19.1,7,65,185,180,21,11,4.5,28.2,15.01,26.15,21251,0,1,46,10,8,10,23
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91745,"""City Of Industry              """,15480,17.3,0.1,21.4,0.6,1.7,71.3,0.1,0.9,1.8,2.1,72.4,24.84,28,92.8,93,21.2,9,718,185,180,19,19,2.4,19,40.12,50.39,20968,0,1,54,7,5,11,22
Hamilton Unified (Glenn),Glenn,Unified School District,No,K-12,95951,"""Hamilton City                 """,708,28.1,0.6,1.4,0,0,83.1,0,0.4,7.3,7.2,81.5,28.25,12,95.4,96.5,16.7,2,35,184,180,8,14,3.3,11.2,18.83,26.54,15737,0,0,50,5,7,11,14
Hanford Elementary (Kings),Kings,Elementary School District,No,K-08,93230,"""Hanford                       """,5463,17,0.4,0.9,3.8,1,79,0.2,3.4,0.3,11,78.5,11.28,23,N/A,N/A,20.5,15,243,187,180,24,14,3.1,11.9,40.4,51.29,18776,0,4,52,12,5,13,10
Hanford Joint Union High (Kings),Kings,High School District,No,09-12,93230,"""Hanford                       """,4238,10.9,0.4,1.3,3.6,1.1,71.9,0.2,3.7,0,17.8,75.1,23.57,30,96.7,96.2,22.7,17,154,185,180,37,14,4.8,20.1,18.17,54.52,17643,0,1,48,12,5,10,19
Happy Camp Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96039,"""Happy Camp                    """,79,N/A,38,0,0,0,7.6,0,20.3,0,34.2,36.7,N/A,54,N/A,N/A,15.8,3,2,N/A,N/A,3,9,12.2,53.6,2,4.08,27041,0,1,50,1,15,15,15
Happy Valley Elementary (Santa Cruz),Santa Cruz,Elementary School District,No,K-06,95065,"""Santa Cruz                    """,107,3.7,0,0.9,0,0,7.5,0,13.1,0.9,77.6,7.5,2.8,24,N/A,N/A,15,0,9,185,180,1,14,0.9,18.7,83.08,80,21031,0,0,62,3,11,16,7
Happy Valley Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96007,"""Anderson                      """,471,7.2,5.2,9.2,1.3,0.4,19.7,0.2,4.8,9.6,49.6,74.1,5.1,48,N/A,N/A,18.8,1,17,N/A,N/A,8,9,3.8,11.9,31.61,40.19,17460,0,0,54,15,7,10,11
Harmony Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-12,95465,"""Occidental                    """,582,3.1,0.7,2.6,1.5,1,26.5,0.3,9.8,0.3,57.2,37.5,9.62,43,72.9,71.4,18.3,2,35,186,180,3,18,2.5,21.1,38.52,62.9,35139,0,0,71,9,7,7,6
Hart-Ransom Union Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-12,95358,"""Modesto                       """,1225,4.6,0.3,2.9,1,1.8,48.7,0.3,5.1,3.5,36.4,44.9,9.39,44,97,100,25,0,55,185,180,0,13,2.8,8.5,39.69,56.16,14884,0,0,62,9,4,7,17
Hawthorne (Los Angeles),Los Angeles,Elementary School District,No,K-12,90250,"""Hawthorne                     """,6908,25.1,0.5,2.5,18.6,0.8,71.7,1.1,1.1,1.1,2.7,89.5,17.1,29,93.9,97.3,19.6,18,328,181,180,26,18,1.7,22.2,33.62,41.94,23941,0,0,59,10,6,11,11
Hayward Unified (Alameda),Alameda,Unified School District,No,K-12,94544,"""Hayward                       """,19954,30,0.2,8.7,6.6,6.3,65.6,3,4.1,1.5,4,74.1,28.2,38,82.4,81.8,20.8,70,905,186,180,132,14,5,25.3,20.47,33.23,23754,0,0,60,12,6,13,8
Healdsburg Unified (Sonoma),Sonoma,Unified School District,No,K-12,95448,"""Healdsburg                    """,1236,15.1,1,1.2,0.4,0.1,62.9,0.1,1.9,0,32.4,64.2,33.25,34,96.6,96,15.5,9,63,188,181,19,14,3.3,23.7,40.55,55.54,29852,0,1,56,10,8,14,11
Heber Elementary (Imperial),Imperial,Elementary School District,No,K-08,92249,"""Heber                         """,1155,49.8,0.1,0,0.1,0,98.3,0,0,0.4,1.1,70.1,16.97,1,N/A,N/A,20,0,55,0,0,3,13,1.8,13.4,38.77,47.81,21697,0,2,62,5,10,8,12
Helendale Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-12,92342,"""Helendale                     """,8145,5,0.4,3.4,4.3,1.4,49.2,0.5,6,0.5,34.4,52.6,7.32,47,66.4,57.5,20.8,21,427,186,186,33,12,0.4,11,27.92,37.17,18003,0,0,46,6,11,8,25
Hemet Unified (Riverside),Riverside,Unified School District,No,K-12,92545,"""Hemet                         """,22891,13.2,0.6,0.9,7.7,1,69.2,0.3,4.2,0,16.1,85.9,15.02,33,92.2,92,21.7,58,922,186,180,147,12,3.4,32.9,18.21,34.41,20822,0,1,54,12,8,12,14
Hermosa Beach City Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,90254,"""Hermosa Beach                 """,1415,2.2,0.1,5.2,1.2,0.7,14.1,0.1,13.1,8.3,57.2,8.4,5.16,40,N/A,N/A,22.3,7,52,182,180,16,14,0.8,7.4,74.4,79.18,15503,0,0,64,7,10,8,11
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92345,"""Hesperia                      """,25167,16.8,0.2,0.8,6.5,0.3,77.1,0.3,2,0.1,12.8,72.7,11.44,25,93.6,93.2,22.7,119,946,184,180,195,11,4.2,34.1,18.47,29.74,17833,0,0,61,9,6,8,13
Hickman Community Charter (Stanislaus),Stanislaus,Elementary School District,No,K-08,95323,"""Hickman                       """,1096,6.1,0.2,1.7,1.7,0.2,32.2,0.2,5.3,1.2,57.3,42.3,4.2,39,N/A,N/A,23.1,3,47,185,180,4,18,0.4,2.5,37.34,51.84,12859,0,0,66,6,7,9,11
Hillsborough City Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94010,"""Hillsborough                  """,1241,1.7,0.1,35.9,0.4,1.7,7.3,0.2,13.9,0,40.6,3.4,20.63,53,N/A,N/A,13.4,0,92,186,181,2,18,0.7,3.3,85.8,84.66,32531,0,0,69,5,7,10,8
Hilmar Unified (Merced),Merced,Unified School District,No,K-12,95324,"""Hilmar                        """,2284,20.5,0.7,0.5,0.2,0,47.8,0.1,0.8,0.1,49.6,61.5,11.34,37,99.4,99.2,18.7,6,116,N/A,N/A,10,16,6.5,11.8,23.35,37.75,17895,0,3,56,12,8,8,11
Hollister (San Benito),San Benito,Elementary School District,No,K-08,95023,"""Hollister                     """,6447,25.5,0.3,2,1,0.8,81.9,0.5,1,2.2,10.1,62.4,13.01,18,N/A,N/A,23.5,19,255,185,180,28,13,4.1,18.8,25.16,38,17117,0,0,58,11,5,11,11
Holtville Unified (Imperial),Imperial,Unified School District,No,K-12,92250,"""Holtville                     """,1574,36,0.2,0.1,0.3,0,88.2,0,0.6,0,10.6,76.3,21.66,13,96.9,96.6,16.5,8,79,185,180,20,11,3.3,15,33.33,52.83,20443,0,2,53,11,8,10,15
Hope Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-06,93110,"""Santa Barbara                 """,859,9.4,0.3,3,0.3,0.5,39.7,0.1,5.1,0.5,50.4,32,9.08,42,N/A,N/A,19.1,5,41,186,180,5,17,0.7,8.9,54.3,50.33,19986,0,0,65,6,8,11,10
Hope Elementary (Tulare),Tulare,Elementary School District,No,K-08,93257,"""Porterville                   """,237,16.5,0.8,0.4,0,0.8,66.2,0,2.1,1.7,27.8,55.3,11.39,32,N/A,N/A,23.7,0,10,187,180,0,8,1.2,8.3,62.29,69.34,17260,0,0,61,7,10,8,11
Horicon Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95412,"""Annapolis                     """,69,27.5,2.9,0,2.9,0,56.5,0,8.7,0,29,72.5,7.25,43,N/A,N/A,11.5,0,4,186,180,2,6,1.3,33.8,13.33,24.44,39117,0,0,53,8,7,16,16
Hornbrook Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96044,"""Hornbrook                     """,33,N/A,18.2,6.1,3,0,9.1,0,6.1,0,57.6,100,3.03,46,N/A,N/A,16.5,0,2,N/A,N/A,0,5,7.9,17.1,13.04,26.09,38192,0,0,46,8,6,8,17
Hot Springs Elementary (Tulare),Tulare,Elementary School District,No,K-06,93207,"""California Hot Springs        """,10,N/A,0,0,0,0,20,0,0,0,80,100,10,20,N/A,N/A,5,0,2,N/A,N/A,0,26,0,0,redacted,redacted,52613,0,0,61,4,14,13,8
