dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Anaheim Union High (Orange),Expected Performer,0.3435322083720289,65.0,84.0,Differentiated
Roseland (Sonoma),Expected Performer,0.3402623447541143,100.0,213.0,General
Scott Valley Unified (Siskiyou),Expected Performer,0.32434061417769344,121.0,290.0,Differentiated
Kerman Unified (Fresno),Expected Performer,0.31644316214010887,81.0,139.0,Differentiated
Taft City (Kern),Expected Performer,0.31304544323706524,103.5,213.0,Differentiated
Pixley Union Elementary (Tulare),Expected Performer,0.3085947788306552,135.5,342.0,Differentiated
Pasadena Unified (Los Angeles),Expected Performer,0.3082844848106392,68.5,75.0,Differentiated
Duarte Unified (Los Angeles),Expected Performer,0.30435041481818875,62.0,60.0,Differentiated
Coronado Unified (San Diego),Expected Performer,0.2971401181266706,68.0,64.0,General
Vista Unified (San Diego),Expected Performer,0.2954654736245751,67.0,97.0,Differentiated
Mill Valley Elementary (Marin),Expected Performer,0.284100241635626,80.5,123.0,Differentiated
Visalia Unified (Tulare),Expected Performer,0.2788358541157838,102.5,178.0,Differentiated
Vineland Elementary (Kern),Expected Performer,0.27847041031218767,128.0,316.0,Differentiated
Soulsbyville Elementary (Tuolumne),Mixed/Volatile Results,0.27808363029416266,149.5,414.0,General
Liberty Elementary (Sonoma),Expected Performer,0.27723223127165303,79.5,125.0,General
Waterford Unified (Stanislaus),Expected Performer,0.27627149432894815,113.5,290.0,General
Delhi Unified (Merced),Expected Performer,0.27600579213269133,107.5,210.0,Differentiated
Los Angeles Unified (Los Angeles),Expected Performer,0.27448706263461387,115.5,282.0,Differentiated
William S. Hart Union High (Los Angeles),Expected Performer,0.27179357030341655,126.5,289.0,Differentiated
Encinitas Union Elementary (San Diego),Expected Performer,0.2699725849902913,89.5,134.0,General
Summerville Union High (Tuolumne),Mixed/Volatile Results,0.26653374996211543,253.5,622.0,General
Oroville Union High (Butte),Mixed/Volatile Results,0.2645636448079815,168.5,484.0,Differentiated
Menifee Union (Riverside),Expected Performer,0.26396321509919185,79.0,133.0,Differentiated
Linden Unified (San Joaquin),Expected Performer,0.2606199790930876,112.0,258.0,Differentiated
Fremont Unified (Alameda),Expected Performer,0.25075954689828484,70.5,88.0,Differentiated
Lucia Mar Unified (San Luis Obispo),Expected Performer,0.24238676971434225,108.0,255.0,Differentiated
Greenfield Union (Kern),Expected Performer,0.23829564455127955,63.0,55.0,Differentiated
Lodi Unified (San Joaquin),Expected Performer,0.23663434791018495,100.5,198.0,Differentiated
Wasco Union Elementary (Kern),Expected Performer,0.23618879104326562,80.0,132.0,General
Columbia Union (Tuolumne),Expected Performer,0.22861966462509528,83.0,120.0,Differentiated
Oakdale Joint Unified (Stanislaus),Expected Performer,0.225607241236251,99.0,199.0,Differentiated
Sweetwater Union High (San Diego),Expected Performer,0.2188222438938757,125.0,303.0,Differentiated
Nevada Joint Union High (Nevada),Mixed/Volatile Results,0.2176087478281873,185.0,507.0,Differentiated
Arvin Union (Kern),Expected Performer,0.21212214992464024,96.0,203.0,General
Pacific Grove Unified (Monterey),Expected Performer,0.20936534890896585,89.5,166.0,General
Millbrae Elementary (San Mateo),Expected Performer,0.2084410187669745,100.0,202.0,Differentiated
West Covina Unified (Los Angeles),Expected Performer,0.20625603649207572,81.0,121.0,Differentiated
Hawthorne (Los Angeles),Expected Performer,0.20112391256841214,93.0,169.0,Differentiated
South Monterey County Joint Union High (Monterey),Mixed/Volatile Results,0.19644227977748693,238.0,572.0,Differentiated
Buckeye Union Elementary (El Dorado),Expected Performer,0.1939259300807388,87.0,151.0,General
Eureka City Schools (Humboldt),Expected Performer,0.19019381915572198,69.0,96.0,Differentiated
Richland Union Elementary (Kern),Expected Performer,0.1766891817969307,95.0,200.0,Differentiated
Hart-Ransom Union Elementary (Stanislaus),Expected Performer,0.17349838891192226,104.5,221.0,Differentiated
Folsom-Cordova Unified (Sacramento),Expected Performer,0.17091524005928702,67.5,97.0,Differentiated
Lafayette Elementary (Contra Costa),Expected Performer,0.16394880570249154,122.5,324.0,General
